 TOTAL_DETECTION_COUNT,DEVELOPER_TYPE_INDEX,DOWNLOAD_RANGE_BINARY,ANDROID_VERSION_BINARY,CONTENT_RATING_BINARY, MALWARE_DETECTION_COUNT
54,3,13,12,0,1
52,3,16,12,0,1
53,3,11,10,2,0
51,3,5,3,2,1
54,3,1,8,2,0
50,3,5,3,0,1
51,3,5,10,0,0
51,3,5,12,0,0
53,3,11,12,0,0
51,3,1,16,0,0
49,3,1,6,0,0
51,3,8,12,3,0
53,3,11,8,2,1
53,3,8,16,2,0
52,3,5,10,0,0
51,3,6,8,1,0
51,3,8,8,2,0
53,3,8,6,0,1
47,3,5,8,0,1
46,3,1,10,0,1
51,3,8,8,0,1
46,3,1,5,3,1
51,3,8,19,3,0
52,3,5,10,0,0
49,3,16,10,0,0
47,3,1,10,0,1
51,3,8,21,0,0
52,3,8,8,3,1
52,3,5,10,0,1
51,3,5,12,0,0
52,3,11,5,0,1
52,3,14,10,1,0
53,3,2,12,3,1
52,3,11,10,2,0
53,3,11,14,0,1
52,3,5,8,1,1
52,3,5,8,1,1
44,3,11,10,0,0
52,3,5,10,0,0
50,3,1,16,2,0
54,3,5,12,3,1
53,3,7,14,0,1
51,3,7,14,2,1
53,3,1,14,2,1
52,3,16,14,0,1
50,3,5,8,2,1
52,3,14,12,0,0
52,3,14,12,0,0
52,3,8,12,0,0
52,3,8,12,0,0
53,3,17,12,0,1
51,3,17,12,0,0
52,3,5,12,0,0
52,3,14,12,0,0
52,3,11,10,0,1
51,3,2,10,0,0
53,3,17,3,0,0
52,3,5,10,0,0
52,3,11,2,0,0
51,3,8,8,0,0
52,3,5,10,0,1
52,3,1,10,0,1
52,3,5,10,0,1
50,3,11,8,0,1
51,3,7,10,0,1
52,3,7,16,2,0
52,3,4,16,2,0
51,3,5,20,0,0
51,3,8,10,2,0
52,3,1,14,0,1
52,3,5,8,0,0
50,3,1,8,0,1
52,3,5,8,3,1
51,3,2,3,0,0
52,3,5,10,0,0
52,3,13,16,0,0
51,3,16,10,0,0
52,3,5,8,0,0
50,3,5,14,0,0
52,3,5,8,0,1
52,3,14,8,0,0
54,3,16,8,0,1
51,3,14,10,0,0
52,3,5,10,0,1
53,3,1,10,1,1
52,3,16,10,1,0
50,3,5,5,0,1
54,3,2,5,3,1
51,3,5,8,0,1
51,3,7,19,0,1
50,3,16,10,1,1
51,3,1,5,0,0
51,3,14,8,2,1
53,3,5,8,0,1
50,3,1,8,0,1
54,3,5,8,0,1
52,3,16,16,0,0
52,3,16,16,0,0
52,3,11,10,0,1
48,3,1,10,0,1
51,3,5,8,0,0
52,3,2,5,0,1
53,3,5,10,1,0
52,3,1,10,0,1
52,3,5,10,2,1
52,3,5,8,0,0
52,3,1,12,0,0
51,3,5,10,0,1
52,3,11,10,2,1
